start_station_name,value
sip ave,10020
8 st & washington st,10328
11 st & washington st,10386
hudson st & 4 st,10413
washington st,10679
harborside,10815
liberty light rail,10889
14 st ferry - 14 st & shipyard ln,11650
columbus dr at exchange pl,11722
12 st & sinatra dr n,12531
hoboken ave at monmouth st,13017
marin light rail,13735
newport path,13865
hamilton park,14355
city hall - washington st & 1 st,15119
newport pkwy,15583
hoboken terminal - river st & hudson pl,18330
hoboken terminal - hudson st & hudson pl,20735
south waterfront walkway - sinatra dr & 1 st,24520
grove st path,27651
